"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"MICU3",955,589,587,872,991,1240,1314,473,888
"ZDHHC2",1002,922,852,996,969,1193,1684,754,1209
"CNOT7",1504,1288,1200,904,1558,1911,2278,1122,1451
"VPS37A",484,424,364,379,541,674,700,284,487
"MTMR7",324,265,245,241,449,586,526,164,375
"MTUS1",442,322,338,230,435,380,517,243,251
"PCM1",8467,6832,5114,5394,5496,9353,9442,3042,7017
"ASAH1",7186,6378,5582,3100,5415,6664,7573,4109,5069
"PSD3",2966,2806,2598,1902,2902,3181,3048,1835,2691
"SH2D4A",102,128,113,50,67,108,93,49,51
"CSGALNACT1",194,147,194,112,132,165,110,23,53
"INTS10",823,917,792,516,789,924,792,401,703
"LPL",32,30,18,14,60,105,39,13,21
"ATP6V1B2",905,850,742,700,958,1363,1338,781,992
"XPO7",687,664,629,357,699,693,755,434,656
"FAM160B2",37,33,23,19,29,26,25,33,28
"POLR3D",71,82,64,27,73,85,99,50,66
"PIWIL2",168,174,161,151,297,204,132,85,125
"SLC39A14",1184,1101,1059,943,1203,1470,1789,1045,1192
"PPP3CC",663,654,617,447,697,828,586,324,503
"SORBS3",30,23,25,17,34,31,43,22,32
"PDLIM2",35,42,18,10,34,40,53,15,37
"CCAR2",67,68,55,31,64,80,88,55,74
"BIN3",158,121,76,64,105,104,207,130,160
"BIN3-IT1",11,31,21,13,57,37,22,13,31
"EGR3",8,5,15,24,27,31,42,23,29
"TNFRSF10B",1284,1515,1250,1101,1909,2162,2553,1524,1821
"TNFRSF10D",131,156,88,64,148,120,212,118,224
"CHMP7",57,69,31,29,35,66,92,38,34
"R3HCC1",32,38,20,9,32,35,49,32,51
"LOXL2",8,45,24,22,60,72,106,62,44
"ENTPD4",492,498,356,421,602,576,806,366,492
"SLC25A37",964,1106,925,655,778,828,947,611,769
"STC1",2381,3918,3005,2480,3765,3663,2132,1117,2031
"ADAM28",224,193,95,475,218,612,906,332,440
"RP11-624C23.1",12,8,3,20,9,34,52,13,15
"NEFM",600,482,437,220,469,520,466,436,477
"NEFL",112,71,55,50,117,118,89,156,62
"DOCK5",1092,766,832,474,572,763,860,385,624
"GNRH1",215,156,179,173,224,254,227,82,145
"KCTD9",448,440,368,345,459,608,670,281,424
"CDCA2",22,53,7,18,48,38,114,29,68
"EBF2",50,32,16,30,33,15,59,21,11
"PPP2R2A",1155,1058,1038,837,1530,1780,1563,714,1240
"LOC102723411",26,30,25,19,47,52,22,9,35
"BNIP3L",32507,37190,33475,31345,56616,62760,48676,23299,37207
"PNMA2",1211,1391,1024,739,1744,1852,1576,934,1295
"DPYSL2",7894,8754,7282,5843,12800,14606,13100,8135,8670
"ADRA1A",476,431,454,343,323,528,436,258,454
"STMN4",43,64,54,31,84,129,102,51,38
"TRIM35",133,132,86,94,132,132,199,107,125
"PTK2B",272,427,267,162,283,201,226,156,281
"EPHX2",459,595,417,205,317,362,367,174,340
"CLU",26250,27280,17828,11161,24569,22642,26596,17236,24073
"SCARA3",56,37,36,46,66,72,169,69,68
"CCDC25",2213,2060,2058,1584,2307,2765,3547,2154,2338
"ESCO2",161,61,97,73,42,144,292,135,129
"PBK",224,169,117,139,100,174,290,143,136
"ELP3",1635,1645,1504,1172,2340,2459,2336,1622,1893
"ZNF395",806,1174,735,546,1405,1362,961,564,1034
"FBXO16",415,403,355,310,406,500,483,333,457
"FZD3",13779,10912,10827,7693,7886,11099,11503,5199,9083
"EXTL3",87,120,49,47,94,87,121,120,125
"INTS9",815,818,671,514,736,816,1045,604,920
"HMBOX1",1243,1339,1112,734,1411,1572,1386,817,1003
"KIF13B",68,78,63,45,55,92,83,45,49
"DUSP4",212,208,176,216,273,402,472,280,263
"TMEM66",2606,2760,2161,1760,2736,3506,3428,1909,2330
"LEPROTL1",1301,1200,1127,789,1210,1640,1897,1192,1338
"DCTN6",1836,1823,1610,1224,2254,2425,2618,1385,1864
"RBPMS",93,71,76,137,166,223,423,188,127
"GTF2E2",190,186,139,186,295,310,349,205,217
"SMIM18",137,119,84,82,121,135,239,61,179
"GSR",1559,1372,1219,1044,1517,1810,1677,1029,1478
"UBXN8",253,237,272,183,275,352,412,216,326
"PPP2CB",1860,1601,1617,1470,2359,2300,2723,1533,1872
"TEX15",1390,892,746,558,438,830,700,282,647
"PURG",699,596,413,312,429,745,597,233,497
"WRN",2622,2053,2156,1619,2213,2979,3156,1522,2638
"NRG1",34,56,24,54,79,169,109,52,49
"FUT10",670,657,567,295,482,661,861,429,488
"MAK16",1018,981,1028,922,1248,1437,1982,1046,1538
"TTI2",357,287,333,221,327,369,486,298,336
"UNC5D",2151,1834,1669,1412,1615,2357,2378,1379,1826
"LOC101929550",28,47,37,26,37,39,12,4,30
"ERLIN2",748,691,678,446,753,838,1027,550,667
"LOC728024",27,21,30,8,14,31,48,13,18
"PROSC",626,558,536,408,716,734,700,384,511
"BRF2",46,42,25,16,29,34,30,30,56
"RAB11FIP1",2900,3194,2827,2191,3038,3534,2738,1690,2357
"EIF4EBP1",18,27,27,12,38,57,52,43,44
"ASH2L",338,286,324,204,330,355,515,292,339
"LSM1",724,663,433,461,583,779,1247,646,768
"BAG4",4400,4093,3972,3620,5428,6425,6808,3370,4385
"DDHD2",757,786,751,516,851,980,1020,546,745
"PPAPDC1B",947,1078,869,604,1095,1273,1782,886,1267
"WHSC1L1",2340,2309,2022,1686,3022,3792,2862,1588,2319
"LETM2",443,419,371,379,641,911,920,475,601
"LOC102723716",30,40,27,38,29,58,64,38,42
"FGFR1",515,494,352,355,625,713,964,554,632
"TACC1",4223,3718,3403,2528,3370,4409,5175,2893,3825
"PLEKHA2",242,178,197,181,249,329,356,158,245
"TM2D2",752,580,493,386,684,790,1068,638,606
"ADAM9",6759,6877,5086,6006,9183,10680,13772,7089,9271
"ADAM32",51,43,21,56,78,77,89,42,53
"C8orf4",58,81,65,94,119,184,466,244,174
"ZMAT4",70,105,67,40,114,198,196,84,54
"SFRP1",1776,1970,1664,1765,2463,2407,2486,927,1689
"GOLGA7",2190,2152,1745,1354,2304,2676,2995,1782,2165
"GINS4",52,41,48,30,63,73,102,77,104
"AGPAT6",134,120,88,58,135,152,143,92,122
"KAT6A",600,673,554,404,586,657,745,416,597
"AP3M2",2365,2170,2340,1383,2442,2855,3351,2205,2171
"IKBKB",106,123,53,58,88,118,153,73,82
"POLB",591,536,553,432,782,834,1066,666,769
"VDAC3",8018,7497,7134,4786,7141,8002,8617,5245,6610
"SLC20A2",917,968,650,280,356,414,446,289,509
"SMIM19",571,550,464,369,439,514,635,388,431
"THAP1",1135,936,990,837,1140,1359,1513,879,1089
"RNF170",2276,2364,2195,1660,2160,2803,2837,1417,1966
"HOOK3",2011,1947,1845,1526,2134,2924,2667,1294,2107
"FNTA",514,474,445,367,550,591,882,433,536
"POMK",47,69,67,39,49,73,105,39,57
"HGSNAT",199,257,239,98,204,217,294,148,231
"SPIDR",1399,1273,925,594,999,1151,1626,887,1340
"PRKDC",1565,1503,1161,802,1193,1425,2345,1286,1629
"MCM4",507,399,425,271,330,350,645,406,412
"UBE2V2",14800,13457,13005,11693,16226,20216,22551,11815,15839
"EFCAB1",876,845,732,354,340,493,569,332,583
"SNAI2",50,37,17,18,34,42,98,45,27
"C8orf22",135,172,144,40,68,106,58,8,70
"SNTG1",1437,1193,988,369,435,550,555,233,454
"PXDNL",42,26,15,30,12,26,65,24,45
"PCMTD1",1398,1241,989,872,1173,1505,1516,610,1059
"ST18",61,39,36,4,9,8,25,24,47
"FAM150A",8,9,4,22,33,63,65,31,17
"RB1CC1",2343,1862,1596,1762,2109,3375,3651,1245,2277
"OPRK1",477,430,337,434,604,697,940,499,766
"ATP6V1H",573,545,463,381,656,608,724,417,586
"TCEA1",1127,1126,1147,717,1217,1363,1533,850,1082
"LYPLA1",1904,1694,1474,1055,1488,1925,2812,1483,1903
"MRPL15",429,386,356,148,314,289,353,245,324
"XKR4",45,56,41,36,77,100,108,66,60
"TMEM68",4242,4393,4458,2603,3961,4393,4195,2515,3825
"TGS1",1241,1177,1034,759,1150,1284,1344,912,977
"LYN",1321,1154,1187,882,1139,1105,869,541,930
"RPS20",10598,11252,10274,6538,12619,12388,13311,7546,10354
"PLAG1",2976,3166,2394,1895,2709,3745,2822,1095,2028
"CHCHD7",2266,2246,2189,1490,2472,2598,2409,1417,1756
"LOC101929398",1,4,2,15,34,37,40,15,10
"LINC00968",26,15,18,65,64,168,180,64,96
"IMPAD1",2207,2294,1985,1642,3208,3909,2810,1710,2099
"FAM110B",1053,756,719,449,766,765,887,447,541
"UBXN2B",2474,1973,1864,1362,2151,2724,2927,1655,2177
"SDCBP",14603,14593,14111,10058,20614,22245,19997,11413,14945
"NSMAF",993,910,808,701,736,873,1286,676,913
"TOX",107,79,73,141,186,289,338,191,139
"RAB2A",3401,3171,3018,2496,3179,3874,4651,2296,3302
"CHD7",1006,941,830,590,968,1234,1510,816,1021
"CLVS1",93,90,78,68,81,79,119,82,100
"ASPH",2906,2608,2304,1450,1894,2389,2726,1175,2106
"NKAIN3",102,57,49,39,33,28,40,24,40
"UG0898H09",646,533,484,275,272,407,559,184,440
"GGH",1213,1224,883,614,951,944,1537,705,972
"YTHDF3",2585,2035,2167,1762,2501,3144,3679,1732,2360
"LINC00966",169,104,81,60,96,135,211,87,73
"CYP7B1",126,87,127,51,64,94,84,56,82
"ARMC1",2154,1838,1511,909,1559,1908,2422,1358,1880
"MTFR1",1023,935,974,615,878,1033,1256,679,982
"PDE7A",1386,1240,993,934,1148,1678,1488,698,1220
"RP11-346I3.4",18,26,24,3,26,8,19,14,11
"RRS1",34,12,21,18,18,43,44,23,39
"ADHFE1",840,915,881,275,479,491,432,227,377
"C8orf46",32,22,23,38,51,51,128,97,94
"MYBL1",78,61,84,61,108,107,182,59,78
"VCPIP1",1684,1365,1521,1182,1674,2042,2081,1092,1596
"C8orf44",123,146,127,105,157,165,170,106,152
"MCMDC2",50,31,30,22,33,67,42,41,31
"SNHG6",886,1042,784,461,1004,927,899,560,752
"PPP1R42",507,375,360,289,211,377,451,228,365
"COPS5",2188,1954,1858,1641,2449,2720,3135,2025,2543
"CSPP1",3201,2627,2400,1822,1983,2445,2713,1413,2575
"ARFGEF1",2329,2140,1792,1548,1874,2676,3198,1399,2154
"PREX2",41,60,37,34,62,82,121,36,65
"C8orf34",223,155,164,161,144,279,255,119,259
"SULF1",197438,223831,196927,145676,210772,212381,236983,148446,233491
"SLCO5A1",25,31,18,23,42,32,53,27,71
"NCOA2",2145,1852,1641,1059,1528,1972,1788,1078,1980
"TRAM1",2905,2751,2495,2340,3110,3926,4413,2210,3060
"LOC286190",33,50,50,13,48,51,22,22,76
"LACTB2",558,449,377,316,564,636,608,429,602
"XKR9",154,166,139,91,104,175,158,86,132
"EYA1",548,380,461,115,116,233,211,87,228
"TERF1",529,479,425,475,595,780,755,437,557
"SBSPON",92,73,49,77,81,143,157,46,100
"RPL7",41832,45097,42316,26702,52022,50780,53945,30045,41067
"RDH10",1607,1685,1325,2558,3309,4195,5541,2951,3637
"STAU2",3700,3944,3316,2997,4241,5136,6350,3376,4480
"UBE2W",3929,3396,3343,3222,4531,5432,5905,2819,4133
"TCEB1",2198,1967,1761,1499,2575,2612,3299,1966,2371
"TMEM70",81,75,70,46,75,128,106,66,89
"JPH1",263,214,173,103,159,212,132,73,126
"GDAP1",1557,924,871,754,1207,1970,2017,971,1214
"PI15",320,252,419,54,243,162,404,116,171
"CRISPLD1",750,645,532,547,824,1113,1204,599,829
"LINC01111",19,16,6,52,42,102,79,26,45
"ZFHX4",3355,3076,2779,2833,3860,5552,5133,2434,2983
"PEX2",4893,4367,4490,3607,5116,6396,5561,3484,4593
"PKIA",781,716,816,445,691,926,843,505,570
"RP11-594N15.2",148,87,60,107,88,134,114,38,106
"ZC2HC1A",5692,5370,4926,4786,5583,8034,8962,3852,5996
"IL7",57,35,40,30,25,61,80,22,49
"STMN2",1272,1204,1019,1119,2813,3646,3558,2029,1414
"HEY1",31,35,44,20,42,36,60,49,38
"MRPS28",1176,1058,969,831,1225,1312,1704,981,1134
"TPD52",563,625,513,460,523,526,451,233,480
"ZBTB10",1529,1210,1341,1148,1976,2746,2068,920,1369
"ZNF704",1216,820,905,541,675,994,1133,511,806
"PAG1",1904,1862,1564,879,1538,1691,1715,761,1373
"FABP5",982,825,923,349,673,592,824,441,716
"PMP2",90,27,26,53,129,69,208,32,41
"IMPA1",3348,3065,3029,2697,3033,4043,4636,2485,3614
"ZFAND1",2384,2277,2100,1500,2353,2565,2837,1494,2049
"SNX16",620,596,593,393,728,861,856,368,649
"RALYL",51,36,15,64,118,99,209,70,65
"LRRCC1",167,101,130,91,118,148,201,87,165
"E2F5",127,131,127,127,154,158,182,84,140
"C8orf59",1348,1468,1118,1084,1797,1898,1842,1156,1371
"CA13",238,177,170,158,229,249,334,191,280
"CA3",166,292,274,143,187,216,155,69,202
"RP11-317J10.2",26,30,20,12,17,15,19,10,27
"CA2",45561,33593,34025,14305,15696,16990,18730,10913,19641
"WWP1",699,613,508,485,722,905,1238,569,824
"RMDN1",1806,1604,1499,1011,1370,1552,2202,958,1782
"CPNE3",11487,11713,10874,7662,12355,13898,15797,8847,12722
"MMP16",828,507,506,436,593,966,1011,461,642
"LOC101929758",29,23,32,21,17,27,31,17,9
"RIPK2",147,189,145,132,168,294,317,112,131
"OSGIN2",561,644,457,404,736,756,992,433,666
"NBN",1342,1131,921,887,916,1410,1555,614,1082
"DECR1",3199,2777,2367,1979,2660,3100,4399,2372,2829
"CALB1",2769,2939,1876,2042,2552,3467,8367,3273,4451
"TMEM64",827,784,650,496,765,951,1222,675,790
"NECAB1",789,674,569,619,718,915,1226,434,851
"C8orf88",81,75,60,40,65,77,113,54,112
"TMEM55A",748,588,579,501,712,749,799,450,630
"GS1-251I9.4",1693,1546,1519,1068,1599,1790,1824,993,1376
"OTUD6B",2339,1998,2067,2212,2442,4098,4719,1852,3074
"LRRC69",41,24,23,24,23,30,42,9,28
"SLC26A7",2503,2396,1979,4185,3871,5496,6590,2436,5288
"RUNX1T1",309,230,217,184,355,368,444,294,308
"TRIQK",4620,4578,4154,3272,3872,4577,5141,2150,4082
"C8orf87",51,22,25,15,18,9,26,12,30
"FAM92A1",1747,1445,1372,1206,1595,1971,2436,1304,1772
"RBM12B",424,410,441,296,444,530,571,240,392
"TMEM67",10803,9304,9043,6355,6340,9472,10420,5614,8966
"PDP1",6538,5342,4752,4854,7648,9327,15530,8447,9934
"CDH17",12,11,15,6,26,51,35,17,16
"GEM",850,734,559,975,1457,1720,2389,1311,1722
"RAD54B",1075,1066,1054,765,823,1291,1731,723,913
"KIAA1429",3408,3537,3371,2345,4488,4318,4524,2648,3708
"LOC101926977",28,30,23,13,14,42,33,18,19
"DPY19L4",1574,1525,1439,1128,1487,1874,2002,925,1383
"INTS8",520,578,422,385,492,609,756,366,549
"CCNE2",159,91,121,157,129,207,433,172,162
"TP53INP1",2373,2314,2241,1595,2158,2526,2968,1685,2263
"LOC100506538",895,768,790,478,532,785,776,427,695
"NDUFAF6",121,68,72,54,67,46,126,57,82
"PLEKHF2",464,362,427,281,350,459,432,215,347
"C8orf37",2969,2864,2904,1763,2598,2493,2743,1620,2261
"UQCRB",13231,13196,11664,7752,12406,11945,10467,6416,8992
"MTERFD1",453,430,421,305,421,503,508,262,399
"PTDSS1",1990,2183,1889,1352,2193,2517,2707,1523,1862
"SDC2",2614,2571,2461,2022,3182,3373,3733,1929,2881
"TSPYL5",25,13,19,8,30,12,14,10,32
"MTDH",4826,4445,4023,3614,4426,5525,6794,3490,4732
"LAPTM4B",2467,2699,2459,2651,4298,4334,4530,2776,3759
"MATN2",240,304,182,234,326,314,450,276,311
"RPL30",6631,7898,6605,4376,8743,8179,8172,5364,6831
"C8orf47",56,69,41,24,39,34,60,37,43
"HRSP12",5362,4649,4622,2660,3331,3760,3323,1872,2875
"POP1",180,162,128,135,163,158,279,169,186
"NIPAL2",12,5,3,23,9,26,48,25,13
"STK3",1184,994,904,624,957,1097,1603,820,1167
"VPS13B",2309,2193,1869,1527,2069,2392,2707,1192,2237
"COX6C",9759,9339,8113,6592,9663,9984,11199,6808,8251
"RGS22",66,58,44,18,17,12,16,17,20
"POLR2K",2939,2627,2529,2094,3121,3408,4515,2569,3018
"SPAG1",1165,792,746,628,724,935,1126,574,900
"RNF19A",2170,2267,1898,2802,4710,6425,5591,2526,3038
"LOC102724867",19,24,25,36,54,69,42,21,29
"ANKRD46",2768,2838,2692,2024,3612,3991,2936,1761,2513
"SNX31",41,36,29,12,36,57,19,6,16
"PABPC1",7220,8766,7042,5814,9895,10202,10868,5642,8326
"YWHAZ",8991,8939,7773,7141,12504,13931,18366,10693,11210
"ZNF706",1018,963,767,618,992,1120,1479,804,917
"NACAP1",34,32,20,30,31,48,38,17,42
"GRHL2",80,64,53,31,62,58,86,35,91
"NCALD",3001,3346,2886,2455,3867,4455,5367,3238,3988
"RRM2B",5233,5256,4395,3294,5444,7111,8668,3870,6473
"UBR5",4489,4820,4056,3198,4953,5988,6439,2825,4520
"LOC101927201",29,17,12,13,29,46,15,12,18
"KLF10",2185,2238,1931,2511,3830,4488,6904,3642,4498
"AZIN1",7371,7640,7068,5810,11047,12684,12834,7758,9135
"LOC100996457",32,22,28,8,22,17,23,11,25
"ATP6V1C1",5096,5275,4453,4577,7280,8505,8482,4640,6490
"BAALC",46,58,48,67,100,191,221,153,115
"FZD6",1918,1583,1559,1838,2136,2767,4684,2193,3123
"CTHRC1",31,36,17,46,62,96,199,68,94
"SLC25A32",272,286,261,347,460,530,736,338,336
"DCAF13",5772,5335,5080,5082,8067,9083,12053,6518,7984
"RIMS2",174,132,111,141,162,383,612,241,245
"LRP12",1545,1499,1393,1111,1743,1902,2180,1094,1565
"ZFPM2",34,9,10,16,26,17,45,18,24
"OXR1",4318,3830,3710,2589,3865,4686,4821,2010,3315
"RSPO2",2062,1819,1688,1262,1759,2223,2521,1558,1908
"EIF3E",21033,21307,20792,13124,22326,22989,21204,11175,16505
"EMC2",6958,7044,6400,5374,7381,8132,9585,4518,7400
"TMEM74",68,46,50,20,54,59,60,33,11
"NUDCD1",2065,1989,1882,1770,2785,2919,3709,1891,2683
"ENY2",3200,2553,2530,2039,2810,3296,4230,2553,2959
"EBAG9",491,431,418,256,444,578,551,308,447
"SYBU",455,269,284,93,125,241,283,204,237
"CSMD3",556,581,472,497,504,771,531,176,481
"TRPS1",659,495,378,278,469,671,626,330,558
"EIF3H",6112,6389,5954,4008,7694,7549,7425,4503,5536
"UTP23",777,671,659,512,658,745,873,505,693
"RAD21",3768,3307,3240,2633,4111,5005,4578,2267,3123
"MED30",80,50,71,47,61,79,53,28,47
"EXT1",961,956,757,986,1406,1629,1902,1027,1289
"SAMD12",290,261,154,208,321,502,402,155,326
"TNFRSF11B",251,181,129,135,170,222,465,222,357
"MAL2",39,26,42,42,43,45,72,41,28
"NOV",33,61,34,26,46,37,68,38,46
"ENPP2",1781,1278,1217,1137,1169,1444,1200,989,1180
"TAF2",1531,1181,1134,884,1108,1596,2067,1194,1498
"DSCC1",25,26,22,17,14,30,39,19,8
"DEPTOR",19,5,23,5,31,30,20,10,27
"MRPL13",3336,3022,2734,2722,3858,4391,5073,3118,3729
"MTBP",354,316,324,226,374,411,415,260,356
"SNTB1",1909,1808,1599,1833,2186,2435,2708,1447,1864
"RP11-713M15.1",43,56,37,39,43,88,40,23,48
"ZHX2",126,96,72,63,140,142,123,96,122
"DERL1",437,453,313,226,418,514,663,371,429
"TBC1D31",646,536,633,241,223,404,442,227,441
"C8orf76",55,64,38,41,45,67,82,36,54
"ZHX1",1911,1316,1479,879,950,1281,1255,746,1213
"ATAD2",428,431,390,221,293,406,582,257,350
"WDYHV1",210,260,204,163,303,309,379,218,334
"FBXO32",1473,1792,1384,3918,4043,6490,10484,5219,4809
"ANXA13",4,7,1,22,22,37,46,32,30
"FAM91A1",1273,1097,1061,1154,1662,2043,2160,1038,1451
"TMEM65",286,243,227,200,245,249,208,146,277
"TRMT12",278,339,248,200,327,393,475,286,336
"RNF139-AS1",88,131,70,56,83,127,100,69,83
"RNF139",801,662,625,391,734,723,826,452,670
"TATDN1",670,758,708,549,809,1057,1160,636,841
"NDUFB9",3223,3060,2854,1850,2962,3196,3795,2402,2893
"MTSS1",401,320,347,208,289,310,266,143,256
"SQLE",1966,2518,1994,1635,2439,2695,3137,1693,2199
"KIAA0196",1203,1065,984,793,961,1152,1447,749,1113
"NSMCE2",1081,1068,918,799,1188,1401,1514,858,1054
"TRIB1",425,399,398,411,647,608,770,398,597
"FAM84B",3049,2106,2114,2965,3534,4655,5669,3175,3863
"PCAT1",76,31,30,27,34,41,41,15,37
"PRNCR1",192,121,110,111,88,165,156,54,156
"MYC",100,108,84,125,208,207,332,156,152
"PVT1",61,75,47,40,109,108,126,77,82
"FAM49B",1229,1089,997,728,1086,1284,1525,739,1092
"ASAP1",1006,1140,976,961,1387,1883,1765,869,1262
"ASAP1-IT2",66,47,62,51,64,101,98,36,65
"ADCY8",85,94,72,93,98,155,127,74,92
"EFR3A",2091,1579,1436,1167,1249,1876,1592,769,1272
"KCNQ3",192,186,98,137,221,279,360,144,149
"LRRC6",2087,1692,1477,1045,1057,1692,1667,838,1466
"PHF20L1",3053,2215,2065,2056,1966,3213,4005,1668,2612
"SLA",34,108,82,21,49,41,17,12,25
"NDRG1",60,155,93,90,245,246,94,39,47
"ST3GAL1",621,851,603,274,611,488,604,319,486
"KHDRBS3",49,44,55,53,103,119,107,60,86
"COL22A1",97,59,76,47,63,44,78,62,42
"TRAPPC9",96,96,75,33,55,69,62,42,66
"CHRAC1",704,541,533,330,439,520,694,375,566
"AGO2",10,37,20,17,22,28,37,18,16
"PTK2",4412,4405,3985,3737,6607,7503,9753,4869,6213
"JRK",220,164,130,72,165,182,212,118,131
"LY6E",63,72,36,16,35,71,88,53,55
"LOC100507316",159,167,109,59,88,110,142,92,97
"ZNF696",54,65,67,35,66,70,98,53,54
"RHPN1-AS1",30,24,16,6,5,17,36,4,22
"EEF1D",282,311,170,89,192,148,289,206,203
"TSTA3",25,27,21,18,13,31,66,49,47
"ZNF623",238,196,206,122,166,276,308,180,236
"MAPK15",22,23,13,9,8,11,18,21,24
"FAM83H-AS1",166,175,125,76,119,143,132,57,85
"PUF60",312,270,182,177,242,251,341,202,318
"NRBP2",616,562,456,336,500,687,875,421,581
"EPPK1",192,217,146,309,339,631,846,411,350
"GRINA",142,174,108,97,147,187,200,132,139
"GPAA1",144,117,48,44,70,77,121,71,98
"CYC1",227,247,207,153,216,233,304,181,178
"SHARPIN",31,37,9,11,12,23,43,23,24
"MAF1",25,28,26,8,25,25,42,23,35
"FAM203A",22,23,15,20,17,18,23,23,24
"CPSF1",28,47,13,8,26,32,40,27,27
"VPS28",255,279,146,96,156,172,337,194,242
"CYHR1",29,23,18,11,18,13,27,13,30
"LRRC14",29,23,14,12,16,22,46,11,17
"ZNF251",179,180,146,140,211,202,261,154,158
"ZNF34",48,70,63,30,76,58,126,59,100
"RPL8",5394,5700,3952,2273,4746,4688,6416,3731,5223
"ZNF7",408,408,357,166,399,428,484,271,469
"COMMD5",72,89,48,27,61,94,85,47,65
"ZNF250",269,339,248,136,350,322,396,242,335
"ZNF16",179,129,123,52,170,162,257,157,191
"ZNF252P",1256,891,973,636,827,1085,1175,679,930
"TMED10P1",231,236,226,149,175,319,285,123,231
"ZNF252P-AS1",30,19,28,6,17,38,8,3,10
"C8orf33",926,1000,906,672,1188,1413,1382,858,1011
"RP11-143M1.2",132,118,122,59,132,106,67,68,83
"CBWD1",1202,1024,985,828,1119,1405,1625,852,1138
"DOCK8",172,194,105,118,143,191,97,57,72
"KANK1",1396,1419,1134,761,1154,1228,1177,795,1116
"DMRT1",99,129,111,34,77,82,72,39,89
"DMRT3",309,308,311,152,206,297,367,179,276
"SMARCA2",3631,3334,3275,1719,2647,2861,2607,1431,2425
"LOC101930053",40,27,29,19,39,48,26,17,19
"VLDLR-AS1",33,35,23,11,39,25,28,23,27
"VLDLR",1012,1118,875,699,1509,1455,1071,585,968
"KIAA0020",1378,1350,1302,1641,2004,2656,3611,1880,2296
"RFX3",6908,5893,5469,3947,4601,7510,6146,2669,5829
"DSERG1",221,162,158,142,144,308,244,91,135
"RP11-509J21.1",60,58,39,24,28,35,60,14,43
"GLIS3",1547,1460,1231,1219,1560,1965,2496,1347,1741
"LOC101929330",42,28,37,16,26,28,32,12,17
"SLC1A1",361,332,383,437,527,565,490,336,404
"SPATA6L",328,280,281,193,187,309,189,110,187
"PPAPDC2",124,151,98,59,108,114,138,102,76
"LOC101929351",26,42,28,21,30,25,54,27,25
"CDC37L1",404,337,345,311,380,413,384,188,349
"AK3",1826,1468,1552,1104,1518,1959,2031,875,1229
"RCL1",425,413,282,272,432,569,527,260,418
"JAK2",1328,1468,1487,686,911,1135,845,382,652
"PLGRKT",1197,865,949,613,770,921,1215,786,923
"CD274",29,15,20,103,91,221,544,215,121
"KIAA1432",1355,1257,1020,874,1068,1495,1516,664,1193
"ERMP1",962,825,722,464,529,739,532,319,455
"MLANA",39,39,20,22,13,26,34,16,36
"KIAA2026",3211,2657,2367,1677,1906,2790,2430,1192,2196
"RANBP6",7239,6029,5801,5490,6457,8791,10419,5371,7632
"IL33",25,105,56,45,46,50,187,129,80
"UHRF2",410,448,421,348,563,779,491,289,388
"GLDC",137,125,122,85,214,242,252,139,164
"KDM4C",1232,1477,1224,949,1743,1894,1827,918,1269
"TMEM261",320,284,180,168,207,318,277,151,216
"PTPRD",2354,2198,2047,1471,1825,2217,2243,1087,1481
"RP11-75C9.1",42,33,28,10,25,68,36,22,18
"TYRP1",576,319,471,291,188,343,250,136,249
"LOC101929467",7,17,11,19,13,28,38,29,9
"LURAP1L",71,89,114,78,97,177,138,80,96
"MPDZ",3068,2753,2366,1799,2236,3366,3612,1861,2951
"NFIB",1922,1498,1378,1587,2467,2654,3641,1917,2578
"ZDHHC21",2357,1990,1688,2890,2133,3616,4208,1807,3077
"FREM1",178,78,93,75,53,77,128,88,135
"LOC389705",40,46,60,23,63,53,56,16,58
"TTC39B",195,195,118,124,232,221,272,103,240
"SNAPC3",742,743,619,518,900,1037,916,401,678
"PSIP1",4368,3646,3341,2876,3296,4900,4391,1794,3410
"CCDC171",740,613,580,350,534,592,713,334,621
"LOC100506331",288,206,179,155,140,257,246,84,185
"BNC2",17,20,4,22,13,51,61,46,14
"CNTLN",685,611,405,371,357,458,760,313,549
"SH3GL2",19,24,30,12,41,25,41,31,14
"RRAGA",374,411,321,252,598,727,382,292,380
"HAUS6",1398,1326,1208,777,1420,1756,2337,1069,1554
"PLIN2",1311,1082,1113,496,2357,2031,1430,923,1463
"DENND4C",4276,4291,3722,2748,4110,4891,5387,2190,4182
"RPS6",39920,44356,39131,24861,46858,42984,47202,27886,38159
"ACER2",22,28,27,9,33,38,24,23,26
"SLC24A2",295,153,189,55,109,85,137,84,107
"MLLT3",893,768,790,446,691,680,641,385,612
"FOCAD",4885,4836,3996,2659,3954,4072,4866,3296,4787
"PTPLAD2",72,45,63,25,26,56,61,35,60
"KLHL9",956,768,747,715,919,1218,1398,844,955
"MTAP",943,921,930,820,1269,1463,2439,1092,1349
"CDKN2B-AS1",13,19,23,51,44,62,117,55,70
"CDKN2B",47,64,24,234,198,279,778,340,222
"DMRTA1",228,212,196,186,299,388,482,212,272
